k8,k16,b4,e11,l1,b5,b2b,d2,j2,survey_year,firm_age,log_size,log_sales,survey_year_cat,target_formal_credit,target_applied_credit,k82a,k162a,k162b
yes,yes,,no,30.0,1992.0,0.0,182500000.0,0.0,2013,21.0,3.4339872044851463,19.022260736466272,2013,1.0,1.0,,,
no,yes,no,no,33.0,2005.0,0.0,,2.0,2013,8.0,3.5263605246161616,,2013,0.0,1.0,,,
yes,no,,yes,40.0,2008.0,0.0,9239346.0,0.0,2013,5.0,3.713572066704308,16.038981770124884,2013,1.0,0.0,,,
no,no,no,no,8.0,2010.0,0.0,,0.0,2013,3.0,2.1972245773362196,,2013,0.0,0.0,,,
no,no,no,no,14.0,1983.0,0.0,,0.0,2013,30.0,2.70805020110221,,2013,0.0,0.0,,,
no,no,,,5.0,,0.0,,0.0,2013,,1.791759469228055,,2013,0.0,0.0,,,
no,no,,yes,25.0,1991.0,0.0,7761117.0,0.0,2013,22.0,3.258096538021482,15.864636953946953,2013,0.0,0.0,,,
no,no,no,no,14.0,1999.0,0.0,4120000.0,,2013,14.0,2.70805020110221,15.231363964044126,2013,0.0,0.0,,,
no,no,no,yes,10.0,2010.0,0.0,750000.0,,2013,3.0,2.3978952727983707,13.527829818844937,2013,0.0,0.0,,,
no,no,no,no,25.0,1990.0,0.0,500000.0,2.0,2013,23.0,3.258096538021482,13.122365377402328,2013,0.0,0.0,,,
no,no,yes,no,13.0,1986.0,0.0,13916000.0,,2013,27.0,2.6390573296152584,16.448549887113696,2013,0.0,0.0,,,
,,no,yes,6.0,1989.0,0.0,13000000.0,,2013,24.0,1.9459101490553132,16.380459992348886,2013,,,,,
no,no,no,no,14.0,2001.0,0.0,6700000.0,,2013,12.0,2.70805020110221,15.717618233614914,2013,0.0,0.0,,,
no,no,no,no,12.0,2001.0,0.0,960000.0,4.0,2013,12.0,2.5649493574615367,13.774689605110144,2013,0.0,0.0,,,
no,no,no,yes,20.0,2005.0,0.0,720000.0,0.0,2013,8.0,3.044522437723423,13.487007879880162,2013,0.0,0.0,,,
no,no,no,no,25.0,2011.0,0.0,6000000.0,0.0,2013,2.0,3.258096538021482,15.607270193858982,2013,0.0,0.0,,,
no,no,no,yes,6.0,2006.0,0.0,240000.0,0.0,2013,7.0,1.9459101490553132,12.388398368982115,2013,0.0,0.0,,,
no,no,,yes,8.0,2010.0,0.0,200000.0,0.0,2013,3.0,2.1972245773362196,12.206077645517674,2013,0.0,0.0,,,
no,no,no,no,7.0,2003.0,0.0,87000.0,0.0,2013,10.0,2.0794415416798357,11.373674891823535,2013,0.0,0.0,,,
no,no,no,yes,8.0,2008.0,0.0,,0.0,2013,5.0,2.1972245773362196,,2013,0.0,0.0,,,
no,no,no,yes,12.0,2011.0,0.0,,0.0,2013,2.0,2.5649493574615367,,2013,0.0,0.0,,,
no,no,no,no,20.0,2000.0,0.0,3000000.0,0.0,2013,13.0,3.044522437723423,14.914123179965662,2013,0.0,0.0,,,
no,no,no,no,5.0,2009.0,0.0,,0.0,2013,4.0,1.791759469228055,,2013,0.0,0.0,,,
no,no,no,no,15.0,1968.0,0.0,48000.0,0.0,2013,45.0,2.772588722239781,10.778977123006351,2013,0.0,0.0,,,
no,no,,yes,18.0,,0.0,,0.0,2013,,2.9444389791664403,,2013,0.0,0.0,,,
no,yes,no,yes,18.0,1992.0,0.0,14000000.0,0.0,2013,21.0,2.9444389791664403,16.454567959008102,2013,0.0,1.0,,,
no,no,no,yes,8.0,2005.0,0.0,,0.0,2013,8.0,2.1972245773362196,,2013,0.0,0.0,,,
yes,no,no,yes,130.0,1996.0,0.0,,60.0,2013,17.0,4.875197323201151,,2013,1.0,0.0,,,
no,no,no,no,15.0,1986.0,0.0,1200000.0,3.0,2013,27.0,2.772588722239781,13.997832948091215,2013,0.0,0.0,,,
no,yes,no,no,9.0,1979.0,0.0,9980762.0,0.0,2013,34.0,2.302585092994046,16.116170098271084,2013,0.0,1.0,,,
no,no,no,no,15.0,2007.0,0.0,1000000.0,0.0,2013,6.0,2.772588722239781,13.815511557963774,2013,0.0,0.0,,,
no,no,no,no,24.0,1992.0,0.0,8000000.0,1.0,2013,21.0,3.2188758248682006,15.894952224644102,2013,0.0,0.0,,,
no,no,no,no,13.0,1991.0,0.0,6220000.0,1.0,2013,22.0,2.6390573296152584,15.643280625487053,2013,0.0,0.0,,,
yes,no,no,yes,450.0,2007.0,0.0,100000000.0,10.0,2013,6.0,6.111467339502679,18.420680753952364,2013,1.0,0.0,,,
no,no,no,no,11.0,2011.0,0.0,1000000.0,0.0,2013,2.0,2.4849066497880004,13.815511557963774,2013,0.0,0.0,,,
no,no,no,yes,8.0,1965.0,0.0,850000.0,0.0,2013,48.0,2.1972245773362196,13.652992804936396,2013,0.0,0.0,,,
no,no,no,no,2.0,1988.0,0.0,,50.0,2013,25.0,1.0986122886681098,,2013,0.0,0.0,,,
no,no,,yes,5.0,1982.0,0.0,2000000.0,100.0,2013,31.0,1.791759469228055,14.508658238524095,2013,0.0,0.0,,,
